name.forbes-billionaires,lastName.forbes-billionaires,uri.forbes-billionaires,imageUri.forbes-billionaires,worthChange.forbes-billionaires,age.forbes-billionaires,source.forbes-billionaires,industry.forbes-billionaires,gender.forbes-billionaires,country.forbes-billionaires,timestamp.forbes-billionaires,realTimeWorth.forbes-billionaires,realTimeRank.forbes-billionaires,realTimePosition.forbes-billionaires,position.forbes-china-billionaires,rank.forbes-china-billionaires,name.forbes-china-billionaires,lastName.forbes-china-billionaires,uri.forbes-china-billionaires,imageUri.forbes-china-billionaires,worth.forbes-china-billionaires,age.forbes-china-billionaires,source.forbes-china-billionaires,industry.forbes-china-billionaires,gender.forbes-china-billionaires,Cosine
Cheng Wei,Cheng,cheng-wei,cheng-wei,0,35,ride-hailing service,Service,M,China,1516704901086,1200,1866,1866,333,333,Cheng Wei,Cheng,cheng-wei,cheng-wei,1200,35,ride-hailing service,Service,M,//specials-images.forbesimg.com/imageserve/59162c8931358e03e5590c24/416x416.jpg?background=000000&cropX1=1046&cropX2=3177&cropY1=126&cropY2=2256,99
Chirathivat family,Chirathivat family,chirathivat-family,chirathivat-family,-123.644,empty,retail,Fashion & Retail,empty,Thailand,1516704901086,20525.9,57,57,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,40
Daniel Tsai & family,Tsai,daniel-tsai-1,no-pic,10.439,empty,finance,Finance and Investments,M,Taiwan,1516704901086,9747.938,175,175,99,98,Huang Shih Tsai,Huang,huang-shih-tsai,huang-shih-tsai,2800,66,real estate,Real Estate,M,28
Daniel Tsai & family,Tsai,daniel-tsai-1,no-pic,10.439,empty,finance,Finance and Investments,M,Taiwan,1516704901086,9747.938,175,175,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Douglas Hsu & family,Hsu,douglas-hsu,douglas-hsu,-2.771,75,diversified,Diversified,M,Taiwan,1516704901086,1327.134,1745,1745,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Elisabeth Badinter & family,Badinter,elisabeth-badinter,elisabeth-badinter,-7.501,73,advertising,Media & Entertainment,F,France,1516704901086,1509.555,1587,1587,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Frank Hasenfratz,Hasenfratz,frank-hasenfratz-1,frank-hasenfratz-1,-1.204,83,auto parts,Automotive,M,Canada,1516704901086,1145.224,1919,1919,88,87,Frank Wang,Wang,frank-wang,frank-wang,3200,37,drones,Technology,M,http://specials-images.forbesimg.com/imageserve/57a3950331358e4fd70bee4d/416x416.jpg?background=000000&cropX1=50&cropX2=631&cropY1=35&cropY2=617,49
Hubert Palfinger & family,Palfinger,hubert-palfinger,no-pic,5.38,76,hydraulic lift machinery,Manufacturing,M,Austria,1516704901086,1074.564,1976,1976,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Isara Vongkusolkit & family,Vongkusolkit,isara-vongkusolkit,isara-vongkusolkit,-2.936,69,sugar,Food and Beverage,M,Thailand,1516704901086,1610.907,1498,1498,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Jacques Merceron-Vicat & family,Merceron-Vicat,jacques-merceron-vicat,jacques-merceron-vicat,4.621,79,cement,Construction & Engineering,M,France,1516704901086,1242.205,1827,1827,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Jonathan Harmsworth,Harmsworth,jonathan-harmsworth,jonathan-harmsworth,1.703,50,publishing,Media & Entertainment,M,United Kingdom,1516704901086,1248.744,1819,1819,385,383,Lu Jonathan,Lu,lu-jonathan,no-pic,1100,49,Alibaba,Technology,M,//specials-images.forbesimg.com/imageserve/589d082331358e1a35ab0aac/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=227&cropY2=971,49
Lee Man Tat,Lee,lee-man-tat,lee-man-tat,0,88,food,Food and Beverage,M,Hong Kong,1516704901086,8663.99,202,202,111,111,Sze Man Bok,Sze,sze-man-bok,sze-man-bok,2580,68,hygiene products,Manufacturing,M,33
Lee Man Tat,Lee,lee-man-tat,lee-man-tat,0,88,food,Food and Beverage,M,Hong Kong,1516704901086,8663.99,202,202,340,339,Lee Yin Yee,Lee,lee-yin-yee,no-pic,1190,66,Glass,Manufacturing,M,33
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,18,18,Liu Qiangdong,Liu,liu-qiangdong,liu-qiangdong,9400,43,e-commerce,Technology,M,//specials-images.forbesimg.com/imageserve/5a05f122a7ea436b47b532de/416x416.jpg?background=000000&cropX1=269&cropX2=2788&cropY1=5&cropY2=2523,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,28,28,Liu Yongxing,Liu,liu-yongxing,liu-yongxing,6400,69,agribusiness,Service,M,//specials-images.forbesimg.com/imageserve/5a05f5144bbe6f37dda229ca/416x416.jpg?background=000000&cropX1=358&cropX2=3209&cropY1=6&cropY2=2855,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,46,46,Liu Yonghao,Liu,liu-yonghao,liu-yonghao,4850,66,agribusiness,Service,M,//specials-images.forbesimg.com/imageserve/5a05f9194bbe6f37dda22a3f/416x416.jpg?background=000000&cropX1=314&cropX2=2971&cropY1=6&cropY2=2662,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,67,67,Liu Zhongtian,Liu,liu-zhongtian,liu-zhongtian,3750,53,aluminum products,Manufacturing,M,//specials-images.forbesimg.com/imageserve/5a0b25cc4bbe6f6cadc87890/416x416.jpg?background=000000&cropX1=630&cropX2=2546&cropY1=9&cropY2=1923,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,184,184,Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,1800,53,conglomerate,Diversified,M,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,199,199,Liu Hanyuan,Liu,liu-hanyuan,no-pic,1730,54,agribusiness,Food and Beverage,M,//specials-images.forbesimg.com/imageserve/589d23b131358e1a35ab0b56/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=155&cropY2=899,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,220,218,Liu Baolin,Liu,liu-baolin,liu-baolin,1630,64,pharmacies,Fashion & Retail,M,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,289,286,Liu Shaobo,Liu,liu-shaobo,no-pic,1340,56,printed circuit boards,Technology,M,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,292,291,Liu Zhenguo,Liu,liu-zhenguo,no-pic,1330,52,sewage treatment,Service,M,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,308,307,Liu Jincheng,Liu,liu-jincheng,no-pic,1290,53,lithium batteries,Technology,M,//specials-images.forbesimg.com/imageserve/589d248ba7ea431f321929e0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=110&cropY2=854,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,356,352,Liu Xuejing,Liu,liu-xuejing,liu-xuejing,1160,67,"copper poultry",Diversified,M,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,364,362,Liu Bing,Liu,liu-bing,no-pic,1150,49,retail,Fashion & Retail,M,49
Liu Gexin,Liu,liu-gexin,liu-gexin,19.637,66,pharmaceuticals,Healthcare,M,China,1516704901086,1074.643,1975,1975,398,395,Liu Zhendong,Liu,liu-zhendong,no-pic,1070,empty,industrial parks,Service,M,49
Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,0.331,53,conglomerate,Diversified,M,China,1516704901086,1156.082,1910,1910,184,184,Liu Zhiqiang,Liu,liu-zhiqiang,liu-zhiqiang,1800,53,conglomerate,Diversified,M,99
Loretta Robinson & family,Robinson,loretta-robinson,no-pic-female,-5.818,78,cable tv,Media & Entertainment,F,Canada,1516704901086,7839.238,220,220,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Low Tuck Kwong,Low Tuck,low-tuck-kwong,low-tuck-kwong,3.865,69,coal,Energy,M,Indonesia,1516704901086,1594.862,1516,1516,186,184,Wong Kwong Yu,Wong,wong-kwong-yu,wong-kwong-yu,1800,48,retail,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589dee5aa7ea431f32193360/416x416.jpg?background=000000&cropX1=234&cropX2=538&cropY1=261&cropY2=566,33
Low Tuck Kwong,Low Tuck,low-tuck-kwong,low-tuck-kwong,3.865,69,coal,Energy,M,Indonesia,1516704901086,1594.862,1516,1516,300,298,Sit Kwong Lam,Sit,sit-kwong-lam,sit-kwong-lam,1310,49,"oil transportation",Energy,M,//specials-images.forbesimg.com/imageserve/589f6df331358e1a35ab2b27/416x416.jpg?background=000000&cropX1=187&cropX2=553&cropY1=208&cropY2=574,33
Lu Yonghua & family,Lu,lu-yonghua,lu-yonghua,8.518,54,electronics,Technology,M,China,1516704901086,1172.219,1891,1891,386,383,Lu Yonghua,Lu,lu-yonghua,lu-yonghua,1100,54,electronics,Technology,M,70
Lv Yongxiang,Lv,lv-yongxiang,no-pic,0,68,magnetic switches,Manufacturing,M,China,1516704901086,1066.037,1980,1980,137,137,Lv Li,Lv,lv-li,no-pic-female,2270,41,Electronics,Technology,F,49
Nishita Shah Federbush & family,Shah Federbush,nishita-shah-federbush,nishita-shah-federbush,-7.818,37,"shipping investments",Finance and Investments,F,Thailand,1516704901086,1049.74,1992,1992,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,25
Ou Zonghong,Ou,ou-zonghong,no-pic,220.051,48,real estate,Real Estate,M,China,1516704901086,1537.766,1565,1565,343,343,Ou Zonghong,Ou,ou-zonghong,no-pic,1180,48,real estate,Real Estate,M,99
Phornthep Phornprapha & family,Phornprapha,phornthep-phornprapha,phornthep-phornprapha,0,69,auto,Automotive,M,Thailand,1516704901086,1748.727,1399,1399,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Pierre Castel & family,Castel,pierre-castel,pierre-castel,0,91,wine,Food and Beverage,M,France,1516704901086,13891.49,115,115,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Rit Thirakomen & family,Thirakomen,rit-thirakomen,rit-thirakomen,115.109,66,restaurants,Food and Beverage,M,Thailand,1516704901086,2316.86,1093,1093,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Santi Bhirombhakdi & family,Bhirombhakdi,santi-bhirombhakdi,santi-bhirombhakdi,-1.18,71,beer,Food and Beverage,M,Thailand,1516704901086,3733.573,627,627,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Supaluck Umpujh & family,Umpujh,supaluck-umpujh,supaluck-umpujh,0,63,retail,Fashion & Retail,F,Thailand,1516704901086,1788.265,1377,1377,396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,28
Wan Lianbu,Wan,wan-lianbu,no-pic,0,52,fertilizers,Manufacturing,M,China,1516704901086,1192.415,1876,1876,367,362,Wan Lianbu,Wan,wan-lianbu,no-pic,1150,52,fertilizers,Manufacturing,M,99
Wang Muqing & family,Wang,wang-muqing,no-pic,29.844,67,auto distribution,Automotive,M,China,1516704901086,1660.72,1465,1465,235,235,Wang Muqing,Wang,wang-muqing,no-pic,1560,67,auto distribution,Automotive,M,70
You Xiaoping,You,you-xiaoping,you-xiaoping,0.579,60,"chemicals spandex",Manufacturing,M,China,1516704901086,1290.05,1779,1779,318,317,You Xiaoping,You,you-xiaoping,you-xiaoping,1250,60,"chemicals spandex",Manufacturing,M,99
Yuan Fugen & family,Yuan,yuan-fugen,no-pic,-56.49,67,metal processing,Manufacturing,M,China,1516704901086,1371.959,1704,1704,211,211,Yuan Fugen,Yuan,yuan-fugen,no-pic,1660,67,metal processing,Manufacturing,M,70
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,12,12,Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,13400,46,internet media,Technology,M,http://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=73&cropY2=817,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,27,27,Zhang Jinmei,Zhang,zhang-jinmei,no-pic-female,6500,empty,conglomerate,Automotive,F,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,38,36,Zhang Jindong,Zhang,zhang-jindong,zhang-jindong,5650,54,appliance retailer,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a05f7bea7ea436b47b53361/416x416.jpg?background=000000&cropX1=1033&cropX2=2323&cropY1=300&cropY2=1590,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,44,44,Zhang Bangxin,Zhang,zhang-bangxin,no-pic,5000,38,after-school tutoring,Service,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,47,47,Zhang Shiping,Zhang,zhang-shiping,zhang-shiping,4800,70,aluminum products,Metals & Mining,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,61,60,Zhang Yiming,Zhang,zhang-yiming,no-pic,4000,34,software,Technology,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,70,69,Zhang Xin,Zhang,zhang-xin,zhang-xin,3700,52,real estate,Real Estate,F,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,75,73,Zhang Jin,Zhang,zhang-jin,no-pic,3600,46,diversified,Diversified,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,77,76,Zhang Fan,Zhang,zhang-fan,no-pic,3500,52,touch screens,Technology,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,85,83,Zhang Li,Zhang,zhang-li,zhang-li,3300,65,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f297d31358e1a35ab26d9/416x416.jpg?background=000000&cropX1=159&cropX2=744&cropY1=31&cropY2=616,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,108,106,Zhang Wenzhong,Zhang,zhang-wenzhong,no-pic,2600,56,Retail,Fashion & Retail,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,149,147,Zhang Xiugen,Zhang,zhang-xiugen,no-pic,2100,57,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=27&cropX2=673&cropY1=73&cropY2=719,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,174,172,Zhang Daocai,Zhang,zhang-daocai,no-pic,1870,68,valves,Diversified,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,198,196,Zhang Xuansong,Zhang,zhang-xuansong,zhang-xuansong,1740,46,supermarket,Fashion & Retail,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,224,222,Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,1620,68,advanced ceramics,Manufacturing,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,236,235,Zhang Guiping,Zhang,zhang-guiping,zhang-guiping,1560,66,real estate,Real Estate,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,250,245,Zhang Tao,Zhang,zhang-tao,no-pic,1500,empty,empty,Fashion & Retail,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,265,263,Zhang Jingzhang,Zhang,zhang-jingzhang,no-pic,1440,82,precision machinery,Manufacturing,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,319,317,Zhang Yubai,Zhang,zhang-yubai,no-pic,1250,53,Wine,Food and Beverage,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,328,324,Zhang Zhangsun,Zhang,zhang-zhangsun,zhang-zhangsun,1220,61,real estate,Real Estate,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,369,362,Zhang Zhirong,Zhang,zhang-zhirong,zhang-zhirong,1150,49,"real estate shipbuilding",Diversified,M,49
Zhang Hongwei,Zhang,zhang-hongwei,zhang-hongwei,24.845,63,"oil banking",Diversified,M,China,1516704901086,1584.328,1524,1524,400,395,Zhang Xinghai,Zhang,zhang-xinghai,no-pic,1070,55,machinery,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589f2afaa7ea431f32194780/416x416.jpg?background=000000&cropX1=6&cropX2=736&cropY1=50&cropY2=780,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,12,12,Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,13400,46,internet media,Technology,M,http://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=73&cropY2=817,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,27,27,Zhang Jinmei,Zhang,zhang-jinmei,no-pic-female,6500,empty,conglomerate,Automotive,F,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,38,36,Zhang Jindong,Zhang,zhang-jindong,zhang-jindong,5650,54,appliance retailer,Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/5a05f7bea7ea436b47b53361/416x416.jpg?background=000000&cropX1=1033&cropX2=2323&cropY1=300&cropY2=1590,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,44,44,Zhang Bangxin,Zhang,zhang-bangxin,no-pic,5000,38,after-school tutoring,Service,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,47,47,Zhang Shiping,Zhang,zhang-shiping,zhang-shiping,4800,70,aluminum products,Metals & Mining,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,61,60,Zhang Yiming,Zhang,zhang-yiming,no-pic,4000,34,software,Technology,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,70,69,Zhang Xin,Zhang,zhang-xin,zhang-xin,3700,52,real estate,Real Estate,F,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,75,73,Zhang Jin,Zhang,zhang-jin,no-pic,3600,46,diversified,Diversified,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,77,76,Zhang Fan,Zhang,zhang-fan,no-pic,3500,52,touch screens,Technology,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,85,83,Zhang Li,Zhang,zhang-li,zhang-li,3300,65,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589f297d31358e1a35ab26d9/416x416.jpg?background=000000&cropX1=159&cropX2=744&cropY1=31&cropY2=616,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,108,106,Zhang Wenzhong,Zhang,zhang-wenzhong,no-pic,2600,56,Retail,Fashion & Retail,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,149,147,Zhang Xiugen,Zhang,zhang-xiugen,no-pic,2100,57,automobiles,Automotive,M,//specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=27&cropX2=673&cropY1=73&cropY2=719,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,174,172,Zhang Daocai,Zhang,zhang-daocai,no-pic,1870,68,valves,Diversified,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,198,196,Zhang Xuansong,Zhang,zhang-xuansong,zhang-xuansong,1740,46,supermarket,Fashion & Retail,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,224,222,Zhang Wanzhen,Zhang,zhang-wanzhen,no-pic,1620,68,advanced ceramics,Manufacturing,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,236,235,Zhang Guiping,Zhang,zhang-guiping,zhang-guiping,1560,66,real estate,Real Estate,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,250,245,Zhang Tao,Zhang,zhang-tao,no-pic,1500,empty,empty,Fashion & Retail,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,265,263,Zhang Jingzhang,Zhang,zhang-jingzhang,no-pic,1440,82,precision machinery,Manufacturing,M,49
Zhang Keqiang,Zhang,zhang-keqiang,zhang-keqiang,18.713,57,real estate,Real Estate,M,China,1516704901086,1305.604,1765,1765,319,317,Zhang Yubai,Zhang,zhang-yubai,no-pic,1250,53,Wine,Food and Beverage,M,49
